# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	269784
#@/user_id	a7db7ad9-a2db-4db2-a47e-500434d77068
a 	啊	c=2024 d=2.69461 t=269624
a a 	啊啊	c=1 d=1 t=179985
a a a 	啊啊啊	c=1 d=1 t=219099
a ge 	阿哥	c=1 d=1 t=13137
a la ding 	阿拉丁	c=32 d=1.00109 t=227108
a li 	阿里	c=2 d=1.00099 t=246651
a ma ni 	阿玛尼	c=0 d=0.1 t=130590
a qi mei su 	阿奇霉素	c=3 d=2.15982 t=162065
a sa mu 	阿萨姆	c=1 d=1 t=134560
a shi ha ha ha 	啊是哈哈哈	c=1 d=1 t=232253
a ya 	啊呀	c=4 d=1 t=253692
a yi 	阿姨	c=2 d=1 t=142489
ai 	哎	c=434 d=1.29051 t=268596
ai 	爱	c=37 d=1 t=254403
ai 	矮	c=4 d=1 t=66379
ai ai 	皑皑	c=1 d=1 t=5001
ai bu ai wo 	爱不爱我	c=1 d=1 t=46035
ai de 	爱的	c=0 d=0.1 t=107238
ai de jiao ao de jiu 	爱的骄傲的就	c=1 d=1 t=107239
ai er lan 	爱尔兰	c=1 d=1 t=267353
ai er ma 	艾尔玛	c=1 d=1 t=207308
ai ge 	挨个	c=3 d=1 t=99677
ai hao 	爱好	c=7 d=1 t=261739
ai ji 	埃及	c=31 d=1 t=164873
ai ji yan hou 	埃及艳后	c=15 d=1.01429 t=131180
ai jue 	哎觉	c=1 d=1 t=17195
ai ku nao 	爱哭闹	c=1 d=1 t=150286
ai li si 	爱丽丝	c=36 d=1 t=266158
ai li ya 	埃利亚	c=1 d=1 t=112308
ai li ya 	艾莉亚	c=1 d=1 t=112307
ai mei 	暧昧	c=1 d=1 t=37829
ai min dao 	爱民道	c=0 d=0.1 t=268717
ai min dao mei 	爱民道没	c=1 d=1 t=268718
ai ni 	爱你	c=192 d=1.02471 t=269773
ai ni gai 	爱你改	c=1 d=1 t=98084
